343,공덕동주민센터,서울특별시 마포구 만리재옛길 84 (공덕동),서울특별시 마포구 만리재옛길 84 
344,대흥동주민센터,서울특별시 마포구 신촌로 26길 10 (노고산동),서울특별시 마포구 신촌로 26길 10 
345,도화동주민센터,서울특별시 마포구 도화길 37 (도화동),서울특별시 마포구 도화길 37 
346,석관동주민센터,서울특별시 성북구 화랑로 296 (석관동),서울특별시 성북구 화랑로 296 
347,성북동주민센터,서울특별시 성북구 성북로 37 (성북동),서울특별시 성북구 성북로 37 
348,서초4동주민센터,서울특별시 서초구 서운로26길 3,서울특별시 서초구 서운로26길 3
349,양재1동주민센터,서울특별시 서초구 바우뫼로41 (우면동),서울특별시 서초구 바우뫼로41 
350,양재2동주민센터,서울특별시 서초구 강남대로12길 44,서울특별시 서초구 강남대로12길 44
351,잠원동주민센터,서울특별시 서초구 나루터로 38,서울특별시 서초구 나루터로 38
352,금호1가동주민센터,서울특별시 성동구 행당로 15 (금호동1가),서울특별시 성동구 행당로 15 
353,금호2-3가동주민센터,서울특별시 성동구 무수막18길 1 (금호동2가),서울특별시 성동구 무수막18길 1 
354,금호4가동주민센터,서울특별시 성동구 독서당로46길 26 (금호동4가),서울특별시 성동구 독서당로46길 26 
355,마장동주민센터,서울특별시 성동구 마장로42길 11 (마장동),서울특별시 성동구 마장로42길 11 
356,사근동주민센터,서울특별시 성동구 사근동길 45-8 (사근동),서울특별시 성동구 사근동길 45-8 
357,성수1가1동주민센터,서울특별시 성동구 뚝섬로3길 18 (성수동1가),서울특별시 성동구 뚝섬로3길 18 
358,성수1가2동주민센터,서울특별시 성동구 왕십리로5길 3 (성수동1가),서울특별시 성동구 왕십리로5길 3 
359,성수2가1동주민센터,서울특별시 성동구 뚝섬로 385-19 (성수동2가),서울특별시 성동구 뚝섬로 385-19 
360,성수2가3동주민센터,서울특별시 성동구 광나루로2길 35 (성수동2가),서울특별시 성동구 광나루로2길 35 
361,송정동주민센터,서울특별시 성동구 동일로43길 13 (송정동),서울특별시 성동구 동일로43길 13 
